problemName, vehicleFileID, cutoffTime, problemTypeString, numUAVs, numTrucks, requireTruckAtDepot, requireDriver, Etype, ITER 
20170606T123316638608, 101, 5.000000, mFSTSP Heuristic, 2, -1, True, True, 1, 1 

Objective Function Value: 5896.631935 

Assignments: 
vehicleID, vehicleType, activityType, startTime, startNode, endTime, endNode, Description, Status 
1, Truck, Truck is stationary with UAV(s) on board, 0.000000, 0, 60.000000, 0, Launching UAV 2, UAV Launch 
1, Truck, Truck travels with UAV(s) on board, 60.000000, 0, 281.310959, 10, Travel from node 0 to node 10, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 281.310959, 10, 341.310959, 10, Launching UAV 3, UAV Launch 
1, Truck, Truck is stationary with UAV(s) on board, 341.310959, 10, 371.310959, 10, Dropping off package to Customer 10, Making Delivery 
1, Truck, Truck travels with no UAVs on board, 371.310959, 10, 587.265382, 17, Travel from node 10 to node 17, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 587.265382, 17, 617.265382, 17, Dropping off package to Customer 17, Making Delivery 
1, Truck, Truck is stationary with no UAVs on board, 617.265382, 17, 647.265382, 17, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 647.265382, 17, 677.265382, 17, Retrieving UAV 3, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 677.265382, 17, 737.265382, 17, Launching UAV 3, UAV Launch 
1, Truck, Truck is stationary with no UAVs on board, 737.265382, 17, 797.265382, 17, Launching UAV 2, UAV Launch 
1, Truck, Truck travels with no UAVs on board, 797.265382, 17, 1156.471795, 1, Travel from node 17 to node 1, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 1156.471795, 1, 1186.471795, 1, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 1186.471795, 1, 1216.471795, 1, Retrieving UAV 3, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 1216.471795, 1, 1246.471795, 1, Dropping off package to Customer 1, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 1246.471795, 1, 1777.414724, 11, Travel from node 1 to node 11, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 1777.414724, 11, 1807.414724, 11, Dropping off package to Customer 11, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 1807.414724, 11, 2187.756150, 23, Travel from node 11 to node 23, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 2187.756150, 23, 2217.756150, 23, Dropping off package to Customer 23, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 2217.756150, 23, 2705.990252, 9, Travel from node 23 to node 9, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 2705.990252, 9, 2735.990252, 9, Dropping off package to Customer 9, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 2735.990252, 9, 2909.423488, 22, Travel from node 9 to node 22, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 2909.423488, 22, 2939.423488, 22, Dropping off package to Customer 22, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 2939.423488, 22, 3463.105056, 13, Travel from node 22 to node 13, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 3463.105056, 13, 3523.105056, 13, Launching UAV 3, UAV Launch 
1, Truck, Truck is stationary with UAV(s) on board, 3523.105056, 13, 3553.105056, 13, Dropping off package to Customer 13, Making Delivery 
1, Truck, Truck is stationary with UAV(s) on board, 3553.105056, 13, 3613.105056, 13, Launching UAV 2, UAV Launch 
1, Truck, Truck travels with no UAVs on board, 3613.105056, 13, 3921.569950, 5, Travel from node 13 to node 5, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 3921.569950, 5, 3951.569950, 5, Retrieving UAV 3, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 3951.569950, 5, 3981.569950, 5, Dropping off package to Customer 5, Making Delivery 
1, Truck, Truck is stationary with no UAVs on board, 3981.569950, 5, 4041.569950, 5, Launching UAV 3, UAV Launch 
1, Truck, Truck is stationary with no UAVs on board, 4041.569950, 5, 4071.569950, 5, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 4071.569950, 5, 4131.569950, 5, Launching UAV 2, UAV Launch 
1, Truck, Truck travels with no UAVs on board, 4131.569950, 5, 4466.383304, 12, Travel from node 5 to node 12, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 4466.383304, 12, 4496.383304, 12, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 4496.383304, 12, 4526.383304, 12, Retrieving UAV 3, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 4526.383304, 12, 4586.383304, 12, Launching UAV 2, UAV Launch 
1, Truck, Truck is stationary with no UAVs on board, 4586.383304, 12, 4616.383304, 12, Dropping off package to Customer 12, Making Delivery 
1, Truck, Truck is stationary with no UAVs on board, 4616.383304, 12, 4676.383304, 12, Launching UAV 3, UAV Launch 
1, Truck, Truck travels with no UAVs on board, 4676.383304, 12, 5071.453057, 15, Travel from node 12 to node 15, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 5071.453057, 15, 5101.453057, 15, Retrieving UAV 3, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 5101.453057, 15, 5131.453057, 15, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 5131.453057, 15, 5191.453057, 15, Launching UAV 3, UAV Launch 
1, Truck, Truck is stationary with no UAVs on board, 5191.453057, 15, 5251.453057, 15, Launching UAV 2, UAV Launch 
1, Truck, Truck is stationary with no UAVs on board, 5251.453057, 15, 5281.453057, 15, Dropping off package to Customer 15, Making Delivery 
1, Truck, Truck travels with no UAVs on board, 5281.453057, 15, 5543.562067, 14, Travel from node 15 to node 14, Traveling 
1, Truck, Truck is stationary with no UAVs on board, 5543.562067, 14, 5573.562067, 14, Dropping off package to Customer 14, Making Delivery 
1, Truck, Truck is stationary with no UAVs on board, 5573.562067, 14, 5599.904411, 14, Idle for  26 seconds, Idle 
1, Truck, Truck is stationary with no UAVs on board, 5599.904411, 14, 5629.904411, 14, Retrieving UAV 3, UAV Recovery 
1, Truck, Truck is stationary with no UAVs on board, 5629.904411, 14, 5659.904411, 14, Retrieving UAV 2, UAV Recovery 
1, Truck, Truck travels with UAV(s) on board, 5659.904411, 14, 5729.493490, 6, Travel from node 14 to node 6, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 5729.493490, 6, 5759.493490, 6, Dropping off package to Customer 6, Making Delivery 
1, Truck, Truck travels with UAV(s) on board, 5759.493490, 6, 5896.631935, 26, Travel from node 6 to node 26, Traveling 
1, Truck, Truck is stationary with UAV(s) on board, 5896.631935, 26, -1.000000, 26, At the Depot.  Total Time = 1:38:16, Vehicle Tasks Complete 
2, UAV, UAV is stationary with a parcel, 0.000000, 0, 60.000000, 0, Prepare to launch from truck, UAV Launch 
2, UAV, UAV taking off or landing with a parcel, 60.000000, 0, 63.695623, 0, Takeoff from Depot, Traveling 
2, UAV, UAV travels with parcel, 63.695623, 0, 140.656383, 2, Fly to UAV customer 2, Traveling 
